CITY,Population,PER-CAPITA INCOME,GDP (in billion $)
Hyderabad,10004000,240777,74
Vishakapatnam,2175000,121373,26
Surat,7185000,,40
Banglore Urban,12327000,230240,83
Ernakulam,3462920,152318,
Bhopal,2447000,49979,
Indore,3113000,55348,14
jabalpur,1450000,41462,
Mumbai,20668000,256391,209
Nagpur,2893000,178036,83.69*
Nashik,2066000,131288,86.04*
Pune,6807984,202407,48
Jaipur,4067826,109501,24
Chennai,10971108,150275,
Coimbatore,2860000,121099,
Kolkata,14974000,187525,150
Delhi,30291000, ,167
Patna ,2436000,59531,10.5
Meerut,1696000,103224,25.49
