CITY,Hyderabad,Vishakapatnam,Surat,Banglore Urban,Ernakulam,Bhopal,Indore,jabalpur,Mumbai,Nagpur,Nashik,Pune,Jaipur,Chennai,Coimbatore,Kolkata,Delhi
2009,47988,21921,31323,31323,25351,12191,22236,14966,90033,35802,28795,48505,34253,43155,34087,50143,112013
2010,53580,19522,33138,33138,27462,12757,25323,17090,97381,37615,28244,49385,36780,46744,35896,51591,124353
2011,51922,20078,27375,27375,28113,13707,31755,17599,91688,32029,28438,45515,35765,57120,36485,54238,112142
2012,44280,22975,28367,28367,27998,12350,26106,18739,88493,36339,30759,49789,38241,57279,40205,55470,104616
2013,52829,24452,28373,28373,29806,11879,29374,19912,89453,37370,27956,49307,44804,57812,32108,56993,97185
2014,56171,33709,33289,33289,28665,11902,30960,19364,93254,38307,31043,53101,45779,59257,32043,61491,121286
2015,58926,27209,34457,34457,26878,10976,19172,20310,94706,38430,30043,53887,47875,59723,32469,62870,124516
2016,59316,28145,36216,36216,28812,11427,24160,18745,86668,35870,30949,51491,52208,58715,34438,63263,141632
2017,60730,29996,33529,33529,29944,13195,25491,17958,88845,33454,31964,55009,50186,63697,35554,68527,136117
2018,13578,32089,37536,37536,20958,14624,28818,20220,88852,42489,37675,61824,50585,62461,35908,68090,145533
2019,65676,35260,38901,38901,22605,18258,30519,22810,91223,44905,38491,63630,52705,68171,38545,70122,145284
