,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016.0,,,2017,,,2018,,,2019,,
,CITY,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10
Hyderabad,6,27,87,5,22,80,5,25,81,5,28,74,4,28,83,4,28,79,5,24,88,4,23,93,4.8,26.7,101.0,6,28,108,5,30,105,5,37,99
Vishakapatnam,10,31,87,13,32,97,7,16,69,13,21,80,12,13,65,11,13,71,13,18,68,9,19,61,7.9,17.9,77.2,9,17,73,10,20,77,8,19,77
Surat,16,23,81,19,26,91,18,25,77,20,29,106,16,26,97,16,26,97,13,20,88,14,20,89,13.3,22.3,92.0,16,26,106,22,29,176,23,27,128
Banglore Urban,15,40,90,16,40,122,15,31,94,4,28,91,14,28,117,14,29,118,13,26,110,6,20,119,3.1,31.3,98.0,2,31,92,2,30,90,3,26,79
Ernakulam,5,19,40,BDL,12,40,4,11,36,3,13,38,3,8,70,,,,,,,2.7,11.42,41.14,2.0,21.5,47.7,2.42,18.5,50.85,2.85,16,56.57,2,14,44
Bhopal,7,15,93,7,18,115,7,15,116,4,16,170,3,21,172,3,20,167,3,27,222,3,23,158,2.6,12.9,88.7,4,15,93,7,14,134,8,17,161
Indore,9,17,174,9*,17*,183*,14,18,120,12,14,132,12,20,143,12,20,143,11,19,154,11,20,97,11.0,20.0,95.3,11,21,80,10,19,88,9,18,77
jabalpur,BDL,25,136,BDL,24,136,BDL,24,107,2,25,73,2,24,75,2,24,82,2,23,69,9,28,90,10.5,23.0,71.0,10,21,74,7,17,119,7,16,84
Mumbai,9,42,132,6,42,109,4,21,94,5,33,116,5,21,117,5,20,117,3,14,112,18,42,125,19.5,46.3,118.3,3,18,151,2,22,167,2,27,125
Nagpur,8,32,98,6,30,99,7,29,86,8,31,108,10,34,82,10,32,103,8,26,97,10,25,90,16.0,26.6,117.9,9,27,102,10,28,102,10,32,101
Nashik,30,25,80,23,29,89,22,34,79,25,27,96,24,27,95,24,27,95,28,29,85,15,23,78,13.5,27.0,85.0,12,22,81,12,21,85,10,22,63
Pune,22,38,99,23,40,82,26,36,65,32,58,113,22,45,91,22,44,93,20,42,87,23,62,99,28.3,78.3,107.0,20.3,65.33,102,37,75,106,38,87,144
Jaipur,6,34,112,6,36,151,6,39,171,6,37,139,9,51,184,9,52,182,8,40,161,7,36,171,8.5,33.7,198.8,8,31,177,8,32,159,7,27,141
Chennai,6,9,48,9,17,70,9,15,59,9,24,92,12,21,57,12,21,57,14,22,72,13,20,59,10.1,18.3,65.1,9.1,17.4,61.9,9,16,78,9,18,73
Coimbatore,5,28,55,6,29,74,6,28,75,4,26,102,5,27,68,3,27,69,4,24,56,4,25,47,5.7,24.3,59.3,5,25.6,49,6,23,54,7,18,57
Kolkata,9,58,148,16,56,187,11,62,98,12,65,113,9,59,125,12,72,135,13,75,130,7,56,105,4.6,49.4,113.4,6,41,120,6,44,148,8,43,104
Delhi,5,45,198,6,49,243,5,55,259,6,61,104,6,6,252,5,59,237,4,64,219,5,65,220,6.4,66.9,269.4,7,68,241,7,68,234,5,70,199
Patna,7,39,120,5,37,146,7,36,165,4,36,158,6,34,162,6,36,166,,,,-,-,-,4.5,32.0,211.5,5,39,156,5,51,207,3,51,237
Meerut,10,42,115,8*,43*,118*,8,48,170,5,45,123,4,43,129,4,43,129,5,39,134,-,-,-,6.5,55.0,157.5,7,52,153,7,58,177,9,63,213
